agent,shipments
Seatrans,42
AMI,26
Parulekars,13
Sealand,11
RyderLines,7
Direct Consignment,5
SMR,3
Focus,2
Canworld,2
Fidesta Log,1
NCS,1
Shanghai Bashi,1
Pacific Link,1
GAC,1
