agent,shipments
Seatrans,63
AMI,31
Parulekars,19
Sealand,15
Ryderlines,7
Focus Logistics,4
SKR Supply Chain,2
Glo Ind Logistics,1
Ace Express,1
Direct Consignment,1
New Globe,1
Tongjin,1
