date,close
1-Jan-20,146
1-Feb-20,132
1-Mar-20,126
1-Apr-20,115
1-May-20,46
1-Jun-20,68
1-Jul-20,93
1-Aug-20,106
1-Sep-20,129
1-Oct-20,151
1-Nov-20,116
1-Dec-20,133
