agent,shipments
Seatrans,232
AMI,147
Parulekars,101
Sealand,86
SKR Supply Chain,11
Ryderlines,12
Focus Logistics,9
Direct Consignment,10
Tongjin,5
New Globe,3
Glo Ind Logistics,4
GAC,4
Ace Express,2
Canworld,2
Pacific Link,1
KLTI,1
NCS Global,1
Cargo Movers,1
Fidesta Log,1
