agent,shipments
AMI,390
Seatrans,400
Sealand,169
Parulekars,170
Direct Consignment,30
SSC,17
Ace Express,10
Focus Logistics,10
SKR Supply Chain,12
RyderLines,15
Glo Ind Logistics,5
New Globe Group,6
NTC,4
Trimar,3
NCS,2
Yuexin Logistics,1
Tongjin,1
Cross Border,3
