agent,shipments
Seatrans,44
AMI,37
Sealand,13
Parulekars,10
SKR Supply Chain,5
Ryderlines,2
Direct,2
Glo Ind,2
Pacific Link,2
Canworld,1
Focus Logistics,1
FidestaLog,1
MoveItPh,1
Shanghai Bashi,1
