agent,shipments
Seatrans,137
AMI,114
Parulekars,49
Sealand,46
SKR Supply Chain,11
Direct Consignment,8
FidestaLog,7
Pacific Link,5
Focus Logistics,5
Ryderlines,3
Canworld,3
Shanghai Ba-Shi Yuexin,2
Glo Ind Logistics,2
GAC,1
MoveItPh,1
NMC,1
