agent,shipments
Seatrans,55
AMI,26
Sealand,25
Parulekars,11
SMR,4
Fidesta Log,3
Direct Consignment,2
Pacific Link,2
Focus,2
Glo Ind,1
New Globe,1
Shanghai Bashi,1
